fecha_terminacion_proyecto,fecha_de_corte,c_digo_divipola_departamento,departamento,c_digo_divipola_municipio,municipio,indicador,nombre_proyecto,origen,aporte_nacion,contrapartida,estado_seguimiento,num_municipios,región
2019-04-21,2024-04-04,25,cundinamarca,25307,girardot(cun),nueva población beneficiada alcantarillado urbano,"construcción acueducto, alcantarillado  sanitario y pluvial en el proyecto urbanistico valle del sol etapa ii  girardot, cundinamarca",pda,0,704827034,terminado,1,Región Andina
2019-11-07,2024-04-04,47,magdalena,47720,santa barbara de pinto(mag),nueva población beneficiada alcantarillado urbano,construcción del sistema de alcantarillado sanitario  del municipio de santa bárbara de pinto departamento del magdalena - fase ii,pda,0,3197330077,liquidado contrato obra,1,Región Caribe
2021-11-29,2024-04-04,15,boyaca,15507,otanche(boy),nueva población beneficiada alcantarillado urbano,construcción del sistema de alcantarillado pluvial y optmizacion del sistema de alcantarillado sanitario del municipio de otanche - boyacá,pda,0,2591535232,terminado,1,Región Andina
2021-03-23,2024-04-04,63,quindio,63470,montenegro(qui),nueva población beneficiada acueducto rural,construccion de la linea de expansion del sistema de acueducto hacia el sector rural del municipio de montenegro sector el castillo-el cuzco,pgn,3874044476,0,liquidado,1,Región Andina
2022-05-27,2024-04-04,8,tolima,73624,rovira(tol),nueva población beneficiada acueducto urbano,optimizacion acueducto urbano del municipio de rovira,pda,2631205957,1819063708,terminado,1,Región Andina
2021-11-03,2024-04-04,41,atlantico,8638,sabanalarga(atl),nueva población beneficiada acueducto urbano,ampllacion redes de acueducto municipio de sabanalarga sector 1 y 2 - etapa i,pgn,3643185270,565302035,en liquidación,1,Región Caribe
2021-11-04,2024-04-04,52,huila,41483,nataga(hui),nueva población beneficiada acueducto urbano,construcción plan maestro de acueducto del municipio de nataga-huila  fase i,pda,0,3980121365,liquidado,1,Región Andina
2019-01-03,2024-04-04,52,nariño,52788,tangua(nar),nueva población beneficiada acueducto rural,"optimizacion sistemas de acueducto para las veredas ajos, tambor, cebadal y buena esperanza del municipio de tangua",pda,850755674,660991712,liquidado,1,Región Pacífica
2020-12-02,2024-04-04,25,cundinamarca,25875,villeta(cun),nueva población beneficiada acueducto rural,construccion para la optimizacion del sistema acueducto y alcantarillado del centro poblado el puente municpio de villeta,pda,0,1264333207,liquidado contrato obra,1,Región Andina
2020-12-02,2024-04-04,25,cundinamarca,25875,villeta(cun),nueva población beneficiada alcantarillado rural,construccion para la optimizacion del sistema acueducto y alcantarillado del centro poblado el puente municpio de villeta,pda,0,1264333207,liquidado contrato obra,1,Región Andina
2018-09-11,2024-04-04,25,cundinamarca,25126,cajica(cun),nueva población beneficiada alcantarillado urbano,construccion para la optimizacion del sistema de alcantarillado del centro urbano de cajica,pda,2342967710,6963429394,en liquidación,1,Región Andina
2019-07-05,2024-04-04,95,guaviare,95200,miraflores(gua),nueva población beneficiada alcantarillado urbano,plan maestro de  alcantarillado municipio de miraflores fase 2,pda,2406482495,3692518983,liquidado contrato obra,1,Región Orinoquía
2022-03-30,2024-04-04,76,valle del cauca,76616,riofrio(val),nueva población beneficiada alcantarillado rural,mejoramiento y ampliación del sistema de alcantarillado y construcción de la ptar del corregimiento de salónica - municipio riofrio,bid,7125387405,0,en liquidación,1,Región Pacífica
